date,predicted_return,previous_price,predicted_price
2026-06-17,0.0015809827687979826,51999.671875,52081.88246021753
2026-06-18,-0.0011451387100266967,52081.88246021753,52022.24148052127
2026-06-19,0.0006533714945009604,52022.24148052127,52056.23133018469
2026-06-22,-0.0002456777338275631,52056.23133018469,52043.44227323989
2026-06-23,4.4358513879765385e-06,52043.44227323989,52043.67313021553
2026-06-24,-0.00014069136947063684,52043.67313021553,52036.35103457056
2026-06-25,-3.2117805324867682e-06,52036.35103457056,52036.18390523132
2026-06-26,5.369243535278492e-06,52036.18390523132,52036.46330017536
2026-06-29,3.530884147205085e-05,52036.46330017536,52038.30064740879
2026-06-30,-6.21284616686681e-05,52038.30064740879,52035.06758784172
2026-07-01,-9.039201151598802e-06,52035.06758784172,52034.59723239885
2026-07-02,-2.0997965170302614e-05,52034.59723239885,52033.50461173851
2026-07-03,1.2907392965419077e-05,52033.50461173851,52034.1762286299
2026-07-06,4.928082168061488e-06,52034.1762286299,52034.4326573259
2026-07-07,-1.6202220803750262e-05,52034.4326573259,52033.58958395859
2026-07-08,-4.8450567524829945e-06,52033.58958395859,52033.33747826402
2026-07-09,-5.558892542813556e-06,52033.33747826402,52033.04823053233
2026-07-10,3.4767934799295272e-06,52033.04823053233,52033.22913869516
2026-07-13,1.9128613271664563e-06,52033.22913869516,52033.328671046904
2026-07-14,-5.339234947930402e-06,52033.328671046904,52033.050852880006
2026-07-15,-1.4287158634995695e-06,52033.050852880006,52032.97651243483
2026-07-16,-1.8262652952639454e-06,52032.97651243483,52032.881486415616
2026-07-17,1.1382592933340349e-06,52032.881486415616,52032.94071332652
2026-07-20,5.879934438662849e-07,52032.94071332652,52032.97130835453
2026-07-21,-1.684292602650627e-06,52032.97130835453,52032.883669605864
2026-07-22,-4.5966535756268815e-07,52032.883669605864,52032.85975189179
2026-07-23,-5.764049104194326e-07,52032.85975189179,52032.829759895925
2026-07-24,3.5946967892779523e-07,52032.829759895925,52032.84846412053
2026-07-27,1.8774882289174934e-07,52032.84846412053,52032.85823322658
2026-07-28,-5.35335688878651e-07,52032.85823322658,52032.83037818057
