date,predicted_return,previous_price,predicted_price
2026-06-17,-0.0003084355270093072,10475.8798828125,10472.648749279959
2026-06-18,0.00016003562873043045,10472.648749279959,10474.324746207021
2026-06-19,-0.0002134264705007929,10474.324746207021,10472.089248045559
2026-06-22,-7.280404373641625e-06,10472.089248045559,10472.013007001196
2026-06-23,0.0001903272290333533,10472.013007001196,10474.00611621922
2026-06-24,-6.612721671831434e-05,10474.00611621922,10473.313499346863
2026-06-25,3.64159859100404e-05,10473.313499346863,10473.694895383687
2026-06-26,-5.910878821258543e-05,10473.694895383687,10473.075807970314
2026-06-29,-4.4821865668145745e-06,10473.075807970314,10473.028865690614
2026-06-30,5.8354019035115414e-05,10473.028865690614,10473.640009016397
2026-07-01,-2.0368107782410925e-05,10473.640009016397,10473.42668078782
2026-07-02,1.116766054042074e-05,10473.42668078782,10473.543644461684
2026-07-03,-1.7895730083317787e-05,10473.543644461684,10473.356212751607
2026-07-06,-1.312614233462011e-06,10473.356212751607,10473.342465275171
2026-07-07,1.7565596346331927e-05,10473.342465275171,10473.526435781314
2026-07-08,-6.129639404590441e-06,10473.526435781314,10473.462236840967
2026-07-09,3.361622261582222e-06,10473.462236840967,10473.49744466478
2026-07-10,-5.390624340994593e-06,10473.49744466478,10473.44098597452
2026-07-13,-3.9612258852547435e-07,10473.44098597452,10473.436837207964
2026-07-14,5.292854248109264e-06,10473.436837207964,10473.492271582621
2026-07-15,-1.8470042553733706e-06,10473.492271582621,10473.472926997827
2026-07-16,1.0129225632711313e-06,10473.472926997827,10473.483535814872
2026-07-17,-1.6242383062698629e-06,10473.483535814872,10473.466524381713
2026-07-20,-1.1934279564115723e-07,10473.466524381713,10473.465274448938
2026-07-21,1.594751673166816e-06,10473.465274448938,10473.481977025207
2026-07-22,-5.565070900812641e-07,10473.481977025207,10473.476148458229
2026-07-23,3.05196367772222e-07,10473.476148458229,10473.479344925106
2026-07-24,-4.893885216548694e-07,10473.479344925106,10473.474219324533
2026-07-27,-3.595859044813901e-08,10473.474219324533,10473.473842713163
2026-07-28,4.805045577708986e-07,10473.473842713163,10473.47887526508
