date,predicted_return,previous_price,predicted_price
2026-06-17,-0.0008889292895530075,24841.189453125,24819.10739223278
2026-06-18,3.16501565429461e-05,24819.10739223278,24819.892920867
2026-06-19,-0.00018948698939328144,24819.892920867,24815.189874080363
2026-06-22,-0.00038659272851041936,24815.189874080363,24805.59650211844
2026-06-23,0.0005819043490407247,24805.59650211844,24820.03098660357
2026-06-24,-0.00011111097680506726,24820.03098660357,24817.273208716317
2026-06-25,-1.9694647588844435e-05,24817.273208716317,24816.784441266354
2026-06-26,-3.900760840319753e-05,24816.784441266354,24815.81639785704
2026-06-29,-9.598168657314673e-05,24815.81639785704,24813.434533945485
2026-06-30,0.0001421638935139303,24813.434533945485,24816.962108410284
2026-07-01,-2.7178693880268608e-05,24816.962108410284,24816.287615794103
2026-07-02,-4.762577557187885e-06,24816.287615794103,24816.16942629965
2026-07-03,-9.506024606559466e-06,24816.16942629965,24815.93352318244
2026-07-06,-2.3367305447954458e-05,24815.93352318244,24815.35364168383
2026-07-07,3.46133334742443e-05,24815.35364168383,24816.212583794713
2026-07-08,-6.617288914958874e-06,24816.212583794713,24816.048367746273
2026-07-09,-1.1596260585634262e-06,24816.048367746273,24816.019590409916
2026-07-10,-2.3145062919453507e-06,24816.019590409916,24815.962153576435
2026-07-13,-5.689448462326667e-06,24815.962153576435,24815.820964438717
2026-07-14,8.427617048072181e-06,24815.820964438717,24816.030102674536
2026-07-15,-1.6111704048706357e-06,24816.030102674536,24815.99011982127
2026-07-16,-2.8234443088646276e-07,24815.99011982127,24815.98311316466
2026-07-17,-5.635334582880861e-07,24815.98311316466,24815.969128527875
2026-07-20,-1.38526065061111e-06,24815.969128527875,24815.934751942335
2026-07-21,2.05194692846286e-06,24815.934751942335,24815.985672923423
2026-07-22,-3.922859978297375e-07,24815.985672923423,24815.975937959724
2026-07-23,-6.87449115352095e-08,24815.975937959724,24815.974231987653
2026-07-24,-1.3720850657586266e-07,24815.974231987653,24815.97082702489
2026-07-27,-3.3728173955824937e-07,24815.97082702489,24815.96245705108
2026-07-28,4.996057811946937e-07,24815.96245705108,24815.974855249387
