date,predicted_return,previous_price,predicted_price
2026-06-17,2.3214935075343245e-05,24312.16015625,24312.72456146957
2026-06-18,4.222486684333216e-05,24312.72456146957,24313.751163026776
2026-06-19,0.0003138563807760233,24313.751163026776,24321.382188969896
2026-06-22,-0.0001731326669530764,24321.382188969896,24317.171363207533
2026-06-23,6.984196712639111e-05,24317.171363207533,24318.86972229049
2026-06-24,4.857840086488937e-06,24318.86972229049,24318.987859470682
2026-06-25,-5.9919930566688695e-06,24318.987859470682,24318.842140264285
2026-06-26,-7.185032234037593e-05,24318.842140264285,24317.094823617565
2026-06-29,4.098731901614798e-05,24317.094823617565,24318.091516140645
2026-06-30,-1.6106449021731677e-05,24318.091516140645,24317.699838039334
2026-07-01,-1.0568748666169035e-06,24317.699838039334,24317.67413727356
2026-07-02,1.4288337588568014e-06,24317.67413727356,24317.708883187304
2026-07-03,1.6793133490535835e-05,24317.708883187304,24318.117253718763
2026-07-06,-9.569274028991633e-06,24318.117253718763,24317.884546990896
2026-07-07,3.7635525958069585e-06,24317.884546990896,24317.976068628406
2026-07-08,2.474430691214029e-07,24317.976068628406,24317.98208594304
2026-07-09,-3.3351175747674915e-07,24317.98208594304,24317.973975610097
2026-07-10,-3.922295610031936e-06,24317.973975610097,24317.878593327525
2026-07-13,2.2351306255013033e-06,24317.878593327525,24317.932946962716
2026-07-14,-8.790426865545571e-07,24317.932946962716,24317.911570461605
2026-07-15,-5.7790926947995636e-08,24317.911570461605,24317.910165106954
2026-07-16,7.790015263531905e-08,24317.910165106954,24317.912059475864
2026-07-17,9.161328106143313e-07,24317.912059475864,24317.93433791299
2026-07-20,-5.220601309799265e-07,24317.93433791299,24317.921642489004
2026-07-21,2.0531844697980178e-07,24317.921642489004,24317.926635406908
2026-07-22,1.3498283968471929e-08,24317.926635406908,24317.926963657188
2026-07-23,-1.8195157630479398e-08,24317.926963657188,24317.926521188674
2026-07-24,-2.1398150811321358e-07,24317.926521188674,24317.921317602086
2026-07-27,1.2193779875273907e-07,24317.921317602086,24317.92428287588
2026-07-28,-4.795631242475111e-08,24317.92428287588,24317.923116677903
