date,predicted_return,previous_price,predicted_price
2026-06-17,0.004209491631377115,26376.33984375,26487.370825588623
2026-06-18,-0.0019297078836347313,26487.370825588623,26436.257937289727
2026-06-19,0.0010952261779146317,26436.257937289727,26465.211619028752
2026-06-22,-0.00029537137535356106,26465.211619028752,26457.394553073816
2026-06-23,-0.0007829046445609257,26457.394553073816,26436.680935995235
2026-06-24,-2.7239765627635755e-05,26436.680935995235,26435.960807002564
2026-06-25,-5.3161184554534505e-05,26435.960807002564,26434.555440011227
2026-06-26,0.0001130988022797207,26434.555440011227,26437.54515657029
2026-06-29,-1.817253129494375e-06,26437.54515657029,26437.49711285862
2026-06-30,-0.00026523905608233557,26437.49711285862,26430.484856079223
2026-07-01,6.060132555972471e-06,26430.484856079223,26430.64502832097
2026-07-02,-2.138499393492768e-05,26430.64502832097,26430.079809137344
2026-07-03,3.564141501044367e-05,26430.079809137344,26431.02181458058
2026-07-06,-1.4820384766877617e-06,26431.02181458058,26430.982642789273
2026-07-07,-7.77405196529082e-05,26430.982642789273,26428.927884463686
2026-07-08,1.6284654675968143e-06,26428.927884463686,26428.970923060093
2026-07-09,-6.235248240933392e-06,26428.970923060093,26428.806131865636
2026-07-10,1.0472208179550705e-05,26428.806131865636,26429.082899825386
2026-07-13,-4.260077817701969e-07,26429.082899825386,26429.071640830407
2026-07-14,-2.2902550067558687e-05,26429.071640830407,26428.466347693913
2026-07-15,4.814001019677068e-07,26428.466347693913,26428.47907036031
2026-07-16,-1.8372838364756912e-06,26428.47907036031,26428.43051374289
2026-07-17,3.0848497908343944e-06,26428.43051374289,26428.51204148123
2026-07-20,-1.2559645938759982e-07,26428.51204148123,26428.508722153692
2026-07-21,-6.745840030852596e-06,26428.508722153692,26428.3304396616
2026-07-22,1.4177583311226783e-07,26428.3304396616,26428.334186560165
2026-07-23,-5.411593957466849e-07,26428.334186560165,26428.319884618806
2026-07-24,9.086314244628627e-07,26428.319884618806,26428.34389822075
2026-07-27,-3.699281619836041e-08,26428.34389822075,26428.342920561885
2026-07-28,-1.986970468116131e-06,26428.342920561885,26428.29040822498
