date,predicted_return,previous_price,predicted_price
2026-06-17,5.40597452635236e-05,69902.25,69906.02889782835
2026-06-18,0.00018293795504138423,69906.02889782835,69918.81736379997
2026-06-19,0.0004691543544103859,69918.81736379997,69951.62008142142
2026-06-22,5.348925425559874e-05,69951.62008142142,69955.36174141355
2026-06-23,2.0839887769353857e-05,69955.36174141355,69956.81960330112
2026-06-24,1.859823975553554e-05,69956.81960330112,69958.12067700464
2026-06-25,-0.0001018161858941578,69958.12067700464,69950.99780798498
2026-06-26,-0.00022107193888099924,69950.99780798498,69935.53360527291
2026-06-29,-2.7057600047341888e-05,69935.53360527291,69933.64131757553
2026-06-30,-9.589294206631223e-06,69933.64131757553,69932.970703314
2026-07-01,-9.068381870856038e-06,69932.970703314,69932.3365244303
2026-07-02,4.896173951387368e-05,69932.3365244303,69935.7605332748
2026-07-03,0.00010620724736033067,69935.7605332748,69943.1882178931
2026-07-06,1.300460497989564e-05,69943.1882178931,69944.0978014269
2026-07-07,4.606184354510393e-06,69944.0978014269,69944.4199768359
2026-07-08,4.357548824009693e-06,69944.4199768359,69944.7247630609
2026-07-09,-2.3525150066400173e-05,69944.7247630609,69943.0793029145
2026-07-10,-5.1030182944256096e-05,69943.0793029145,69939.51009478199
2026-07-13,-6.248435551512983e-06,69939.51009478199,69939.07308226066
2026-07-14,-2.213165445969352e-06,69939.07308226066,69938.91829552078
2026-07-15,-2.0937065037715042e-06,69938.91829552078,69938.77186395269
2026-07-16,1.1303311982734665e-05,69938.77186395269,69939.56240371075
2026-07-17,2.4518868337070828e-05,69939.56240371075,69941.27724263287
2026-07-20,3.0022344088242936e-06,69941.27724263287,69941.48722274201
2026-07-21,1.063376784732544e-06,69941.48722274201,69941.5615968958
2026-07-22,1.0059794332595072e-06,69941.5615968958,69941.6319566683
2026-07-23,-5.4309901244393386e-06,69941.6319566683,69941.25210435585
2026-07-24,-1.17807711557568e-05,69941.25210435585,69940.42814247047
2026-07-27,-1.4425068907614733e-06,69940.42814247047,69940.32725292094
2026-07-28,-5.109289050624589e-07,69940.32725292094,69940.29151838612
